EID_100001, Dupont, Bernadette, (024) 777 794 551, bernadette.dupont@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100133, Dupond, Danièle, (024) 777 671 477, daniele.dupond@heig-vd.ch, FEMALE, EC, Etudiant
EID_100134, Durant, Henriette, (024) 777 196 183, henriette.durant@heig-vd.ch, FEMALE, EC, Etudiant
EID_100135, Bauer, Aurore, (024) 777 789 593, aurore.bauer@heig-vd.ch, FEMALE, TIC, Professeur
EID_100136, Smith, Albert, (024) 777 688 315, albert.smith@heig-vd.ch, MALE, COMEM, Assistant
EID_100137, Smith, Emma, (024) 777 190 230, emma.smith@heig-vd.ch, FEMALE, TIC, Professeur
EID_100138, De Villiers, Irène, (024) 777 322 639, irene.devilliers@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100139, Delon, Marc, (024) 777 693 101, marc.delon@heig-vd.ch, MALE, COMEM, Etudiant
EID_100140, De Villiers, Bryan, (024) 777 590 841, bryan.devilliers@heig-vd.ch, MALE, TIC, Etudiant
EID_100141, Jones, Dorothé, (024) 777 469 234, dorothe.jones@heig-vd.ch, FEMALE, TIN, Assistant
EID_100142, Belmondo, Fabien, (024) 777 421 374, fabien.belmondo@heig-vd.ch, MALE, HEG, Etudiant
EID_100143, Jones, Georgette, (024) 777 172 863, georgette.jones@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100144, Durant, Carole, (024) 777 115 841, carole.durant@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100145, Dupont, Julie, (024) 777 879 886, julie.dupont@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100146, Smith, Charles, (024) 777 437 670, charles.smith@heig-vd.ch, MALE, DEPG, Administratif
EID_100147, Durant, Jimmy, (024) 777 239 644, jimmy.durant@heig-vd.ch, MALE, EC, Professeur
EID_100148, De Decker, Bernard, (024) 777 470 343, bernard.dedecker@heig-vd.ch, MALE, DEPG, Etudiant
EID_100149, De Villiers, Henri, (024) 777 580 755, henri.devilliers@heig-vd.ch, MALE, TIN, Etudiant
EID_100150, Simpson, Brigitte, (024) 777 748 153, brigitte.simpson@heig-vd.ch, FEMALE, HEG, Assistant
EID_100151, Clément, Amélie, (024) 777 374 628, amelie.clement@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100152, Delon, Emilie, (024) 777 670 867, emilie.delon@heig-vd.ch, FEMALE, TIN, Assistant
EID_100153, Durant, Danièle, (024) 777 120 202, daniele.durant@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100154, Clément, Cédric, (024) 777 357 814, cedric.clement@heig-vd.ch, MALE, COMEM, Professeur
EID_100155, Delon, Christine, (024) 777 351 199, christine.delon@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100156, Simpson, Charles, (024) 777 187 779, charles.simpson@heig-vd.ch, MALE, TIC, Etudiant
EID_100157, Belmondo, Brigitte, (024) 777 128 404, brigitte.belmondo@heig-vd.ch, FEMALE, TIN, Professeur
EID_100158, Clément, Carine, (024) 777 766 863, carine.clement@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100159, Smith, Bernard, (024) 777 168 618, bernard.smith@heig-vd.ch, MALE, TIN, Etudiant
EID_100160, Dupond, Brigitte, (024) 777 814 229, brigitte.dupond@heig-vd.ch, FEMALE, TIC, Assistant
EID_100161, Dupond, Luc, (024) 777 213 715, luc.dupond@heig-vd.ch, MALE, DEPG, Assistant
EID_100162, Dupond, Aurore, (024) 777 334 285, aurore.dupond@heig-vd.ch, FEMALE, TIN, Professeur
EID_100163, Smith, Carine, (024) 777 737 559, carine.smith@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100164, Smith, Fabienne, (024) 777 575 195, fabienne.smith@heig-vd.ch, FEMALE, HEG, Administratif
EID_100165, Marchand, Julien, (024) 777 360 259, julien.marchand@heig-vd.ch, MALE, TIC, Etudiant
EID_100166, Delon, Fabien, (024) 777 500 345, fabien.delon@heig-vd.ch, MALE, TIN, Etudiant
EID_100167, Dupont, Dorothé, (024) 777 594 485, dorothe.dupont@heig-vd.ch, FEMALE, TIC, Professeur
EID_100168, Belmondo, Jimmy, (024) 777 256 226, jimmy.belmondo@heig-vd.ch, MALE, TIC, Assistant
EID_100169, Marchand, Anne, (024) 777 618 473, anne.marchand@heig-vd.ch, FEMALE, EC, Etudiant
EID_100170, Smith, Evelyne, (024) 777 475 125, evelyne.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100171, Bauer, Emil, (024) 777 265 722, emil.bauer@heig-vd.ch, MALE, EC, Etudiant
EID_100172, Dupont, Georgette, (024) 777 464 857, georgette.dupont@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100173, Simpson, Henriette, (024) 777 609 870, henriette.simpson@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100174, Dupond, Georgette, (024) 777 501 688, georgette.dupond@heig-vd.ch, FEMALE, HEG, Assistant
EID_100175, Clément, Albert, (024) 777 277 636, albert.clement@heig-vd.ch, MALE, HEG, Professeur
EID_100176, Bauer, Jimmy, (024) 777 183 131, jimmy.bauer@heig-vd.ch, MALE, EC, Assistant
EID_100177, Delon, Henriette, (024) 777 480 438, henriette.delon@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100178, Marchand, Irène, (024) 777 769 627, irene.marchand@heig-vd.ch, FEMALE, TIN, Assistant
EID_100179, Clément, Faustine, (024) 777 891 356, faustine.clement@heig-vd.ch, FEMALE, EC, Assistant
EID_100180, Durant, Emilie, (024) 777 892 755, emilie.durant@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100181, Clément, Carine, (024) 777 340 409, carine.clement@heig-vd.ch, FEMALE, TIN, Professeur
EID_100182, Simpson, Faustine, (024) 777 731 857, faustine.simpson@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100183, Delon, Bryan, (024) 777 597 790, bryan.delon@heig-vd.ch, MALE, TIN, Etudiant
EID_100184, Dupond, Dylan, (024) 777 336 857, dylan.dupond@heig-vd.ch, MALE, HEG, Etudiant
EID_100185, De Decker, Anne, (024) 777 309 819, anne.dedecker@heig-vd.ch, FEMALE, TIC, Professeur
EID_100186, Durant, Henriette, (024) 777 672 197, henriette.durant@heig-vd.ch, FEMALE, EC, Assistant
EID_100187, Jones, Henri, (024) 777 611 250, henri.jones@heig-vd.ch, MALE, EC, Assistant
EID_100188, Smith, Bryan, (024) 777 851 539, bryan.smith@heig-vd.ch, MALE, EC, Administratif
EID_100189, Bauer, Gilles, (024) 777 475 746, gilles.bauer@heig-vd.ch, MALE, COMEM, Etudiant
EID_100190, Smith, Anne, (024) 777 817 742, anne.smith@heig-vd.ch, FEMALE, TIC, Professeur
EID_100191, Jones, Emil, (024) 777 512 861, emil.jones@heig-vd.ch, MALE, DEPG, Administratif
EID_100192, Simpson, Albert, (024) 777 164 200, albert.simpson@heig-vd.ch, MALE, EC, Assistant
EID_100193, Jones, Evelyne, (024) 777 473 571, evelyne.jones@heig-vd.ch, FEMALE, EC, Administratif
EID_100194, Durant, Henriette, (024) 777 527 280, henriette.durant@heig-vd.ch, FEMALE, TIC, Administratif
EID_100195, Simpson, Georgette, (024) 777 561 264, georgette.simpson@heig-vd.ch, FEMALE, HEG, Administratif
EID_100196, Delon, Julien, (024) 777 307 416, julien.delon@heig-vd.ch, MALE, COMEM, Administratif
EID_100197, Belmondo, Anne, (024) 777 525 184, anne.belmondo@heig-vd.ch, FEMALE, TIC, Administratif
EID_100198, Durant, Lucien, (024) 777 470 184, lucien.durant@heig-vd.ch, MALE, EC, Assistant
EID_100199, Clément, Anne, (024) 777 244 325, anne.clement@heig-vd.ch, FEMALE, EC, Professeur
EID_100200, De Decker, Didier, (024) 777 289 257, didier.dedecker@heig-vd.ch, MALE, COMEM, Etudiant
EID_100201, Smith, Dorothé, (024) 777 763 104, dorothe.smith@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100202, Jones, Carole, (024) 777 126 436, carole.jones@heig-vd.ch, FEMALE, EC, Professeur
EID_100203, Durant, Emma, (024) 777 349 227, emma.durant@heig-vd.ch, FEMALE, HEG, Assistant
EID_100204, De Decker, Julie, (024) 777 818 899, julie.dedecker@heig-vd.ch, FEMALE, TIC, Administratif
EID_100205, Simpson, Fabien, (024) 777 303 591, fabien.simpson@heig-vd.ch, MALE, DEPG, Etudiant
EID_100206, Smith, Christine, (024) 777 642 759, christine.smith@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100207, De Decker, Henriette, (024) 777 446 493, henriette.dedecker@heig-vd.ch, FEMALE, HEG, Administratif
EID_100208, Dupond, Didier, (024) 777 716 639, didier.dupond@heig-vd.ch, MALE, TIC, Professeur
EID_100209, Durant, Faustine, (024) 777 697 220, faustine.durant@heig-vd.ch, FEMALE, EC, Administratif
EID_100210, Jones, Albert, (024) 777 266 611, albert.jones@heig-vd.ch, MALE, HEG, Professeur
EID_100211, Delon, Fabien, (024) 777 748 709, fabien.delon@heig-vd.ch, MALE, TIN, Assistant
EID_100212, Delon, Guillaume, (024) 777 695 731, guillaume.delon@heig-vd.ch, MALE, COMEM, Etudiant
EID_100213, Durant, Dorothé, (024) 777 779 860, dorothe.durant@heig-vd.ch, FEMALE, EC, Administratif
EID_100214, De Villiers, Fabien, (024) 777 620 657, fabien.devilliers@heig-vd.ch, MALE, TIC, Professeur
EID_100215, Bauer, Julie, (024) 777 446 631, julie.bauer@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100216, Smith, Bryan, (024) 777 426 883, bryan.smith@heig-vd.ch, MALE, EC, Professeur
EID_100217, Durant, Amélie, (024) 777 414 127, amelie.durant@heig-vd.ch, FEMALE, HEG, Professeur
EID_100218, Marchand, Guillaume, (024) 777 616 669, guillaume.marchand@heig-vd.ch, MALE, COMEM, Administratif
EID_100219, Dupond, Carole, (024) 777 254 709, carole.dupond@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100220, Delon, Cédric, (024) 777 236 690, cedric.delon@heig-vd.ch, MALE, COMEM, Assistant
EID_100221, Belmondo, Henriette, (024) 777 429 829, henriette.belmondo@heig-vd.ch, FEMALE, EC, Professeur
EID_100222, Dupont, Irène, (024) 777 822 425, irene.dupont@heig-vd.ch, FEMALE, HEG, Professeur
EID_100223, De Villiers, Dylan, (024) 777 193 752, dylan.devilliers@heig-vd.ch, MALE, TIC, Etudiant
EID_100224, Delon, Jimmy, (024) 777 781 473, jimmy.delon@heig-vd.ch, MALE, EC, Assistant
EID_100225, Smith, Julien, (024) 777 618 758, julien.smith@heig-vd.ch, MALE, COMEM, Professeur
EID_100226, Jones, Cédric, (024) 777 149 237, cedric.jones@heig-vd.ch, MALE, HEG, Assistant
EID_100227, Belmondo, Henriette, (024) 777 213 774, henriette.belmondo@heig-vd.ch, FEMALE, HEG, Administratif
EID_100228, Durant, Fabienne, (024) 777 766 576, fabienne.durant@heig-vd.ch, FEMALE, HEG, Administratif
EID_100229, Dupont, Brigitte, (024) 777 443 811, brigitte.dupont@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100230, Dupont, Irène, (024) 777 501 735, irene.dupont@heig-vd.ch, FEMALE, TIN, Administratif
EID_100231, Marchand, Henriette, (024) 777 299 834, henriette.marchand@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100232, Jones, Lucien, (024) 777 186 282, lucien.jones@heig-vd.ch, MALE, TIC, Assistant
EID_100233, Bauer, Edgar, (024) 777 235 625, edgar.bauer@heig-vd.ch, MALE, COMEM, Administratif
EID_100234, Simpson, Henri, (024) 777 254 533, henri.simpson@heig-vd.ch, MALE, EC, Administratif
EID_100235, Delon, Jimmy, (024) 777 635 225, jimmy.delon@heig-vd.ch, MALE, TIN, Etudiant
EID_100236, Dupont, Fabien, (024) 777 617 106, fabien.dupont@heig-vd.ch, MALE, TIN, Professeur
EID_100237, Simpson, Dorothé, (024) 777 345 437, dorothe.simpson@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100238, Durant, Julien, (024) 777 523 735, julien.durant@heig-vd.ch, MALE, TIN, Professeur
EID_100239, Dupond, Emil, (024) 777 394 861, emil.dupond@heig-vd.ch, MALE, TIN, Professeur
EID_100240, Marchand, Amélie, (024) 777 423 632, amelie.marchand@heig-vd.ch, FEMALE, TIC, Assistant
EID_100241, Dupont, Fabienne, (024) 777 245 461, fabienne.dupont@heig-vd.ch, FEMALE, EC, Assistant
EID_100242, Marchand, Jimmy, (024) 777 382 426, jimmy.marchand@heig-vd.ch, MALE, TIN, Administratif
EID_100243, Simpson, Anne, (024) 777 195 565, anne.simpson@heig-vd.ch, FEMALE, HEG, Administratif
EID_100244, De Decker, Henri, (024) 777 186 207, henri.dedecker@heig-vd.ch, MALE, DEPG, Etudiant
EID_100245, Simpson, Edgar, (024) 777 194 785, edgar.simpson@heig-vd.ch, MALE, DEPG, Assistant
EID_100246, Clément, Fabienne, (024) 777 812 133, fabienne.clement@heig-vd.ch, FEMALE, TIN, Assistant
